node_name,cluster,mean_power_x,sum_power_x,count_power_x,mean_power_y,sum_power_y,count_power_y,mean_power,sum_power,count_power,mean_cpu,sum_cpu,count_cpu
0eb86326,0,179.403711790393,616251.75,3435,116.62808733624453,400617.48,3435,116.59333624454148,400498.11,3435,2.432040756914119,8354.06,3435
0eb86326,1,102.77069338763262,958953.34,9331,47.676281213160436,444867.38,9331,47.671113492658876,444819.16,9331,0.41483870967741937,3870.86,9331
0eb86326,2,239.0065695981363,410374.28,1717,167.62719277810135,287815.89,1717,167.61269073966218,287790.99,1717,7.877810133954572,13526.2,1717
0eb86326,3,212.8247476269399,1412517.85,6637,146.52204911857766,972466.84,6637,146.52993219828235,972519.16,6637,3.975318668072924,26384.19,6637
7f3747b5,0,89.03255781098967,1197398.87,13449,33.303798795449474,447902.79,13449,33.279852777158155,447580.74,13449,0.10152873819614841,1365.46,13449
7f3747b5,1,113.65924924924924,37848.53,333,40.79591591591591,13585.039999999999,333,40.12495495495496,13361.61,333,0.2482882882882883,82.68,333
7f3747b5,2,90.9474250888776,537226.44,5907,34.72407482647706,205115.11,5907,34.762441171491446,205341.74,5907,0.10837311664127305,640.16,5907
7f3747b5,3,101.33535290006989,145010.89,1431,36.42421383647799,52123.05,1431,36.68579315164221,52497.37,1431,0.15429769392033543,220.8,1431
ba36d475,0,167.64592233009708,34535.06,206,103.34252427184467,21288.56,206,103.59567961165048,21340.71,206,1.6169902912621361,333.1,206
ba36d475,1,369.3986911595867,643492.52,1742,275.7639322617681,480380.77,1742,275.73722158438574,480334.24,1742,34.808105625717566,60635.72,1742
ba36d475,2,118.63983670212767,2230428.93,18800,58.876321276595746,1106874.84,18800,58.867152659574465,1106702.47,18800,0.27933563829787234,5251.51,18800
ba36d475,3,241.94900537634408,90005.03,372,170.2730376344086,63341.57,372,170.24908602150538,63332.659999999996,372,6.618198924731182,2461.97,372
d5a5fc09,0,101.53514140232573,1475610.21,14533,45.048188261198646,654685.32,14533,45.05346452900296,654762.0,14533,0.16060001376178354,2334.0,14533
d5a5fc09,1,368.9089337282488,1992846.06,5402,272.53143095149943,1472214.79,5402,272.54122917437985,1472267.72,5402,33.52277860051832,181090.05,5402
d5a5fc09,2,305.0480299785867,142457.43,467,219.903147751606,102694.77,467,219.9043040685225,102695.31,467,12.176638115631691,5686.49,467
d5a5fc09,3,212.3840668523677,152491.76,718,143.9684122562674,103369.32,718,144.19732590529247,103533.68,718,3.9509610027855153,2836.79,718
fe2955c5,0,91.71196827562682,537707.27,5863,35.92037523452158,210601.16,5863,35.93797885041787,210704.37,5863,0.10259252942179771,601.5,5863
fe2955c5,1,113.50912328767124,41430.83,365,42.731013698630136,15596.82,365,42.107232876712324,15369.14,365,0.25632876712328767,93.56,365
fe2955c5,2,90.06996098439376,1200452.44,13328,34.817514255702285,464047.83,13328,34.76841611644658,463393.45,13328,0.09969087635054022,1328.68,13328
fe2955c5,3,101.26007033248082,158370.75,1564,37.38682864450128,58473.0,1564,37.88907928388747,59258.52,1564,0.1504923273657289,235.37,1564
