node_name,ipmi_system_power_watts
366801,71
22655375,19
49964896,19
58512373,182
98811351,1854
00366801,139
0049db0c,112372
0064a367,8798
0065ef1b,61
05c5ef00,12379
0861be67,3913
111896c8,23
1125a01c,5535
13a6f4c8,846
1d247e53,52752
1e64c783,0
22655375,294
25fe225b,6629
28e8b849,107
2eea5215,10087
2fded806,93
366801,399
391ea34d,652
3d7960e7,21
417242bc,2302
43e593b3,36273
46de937b,2584
4786760b,6068
497660f4,0
49964896,4
51244a6f,772
5433c3e6,0
54c3811d,4626
58512373,43
5d7db037,689
5e87c22e,40
6a1acc69,2068
6bb5c698,8091
6d834fb8,12161
764b2e98,0
788b0a71,4292
7c7d255d,27
7da5db71,10458
7f4f3762,18
82415d68,45
85c6cd05,16
85ebbabd,27686
8621bb59,523
88b02143,12452
8bab4dff,14902
8d2843f5,173
98811351,6453
a22bdd7c,4
a26788f6,3158
a4ec376f,9918
a57bfdd7,6900
b1b36b26,5564
b6002837,20
b88cae4d,3
bb37a269,553
cbf4a974,0
ce52f982,1005
d424b38d,14
d7ea95c2,4092
de50c1fe,56
e2b6ed0e,0
e41df102,82
e4362c19,3885
e998d442,121
ea7f6999,2750
fd5a1b56,537
